epoch,lr,train_loss,val_acc,val_macro_f1,elapsed_s,epoch_ms
116,0.0197806,0.120619,0,0,1.10859,0.142886
117,0.0194071,0.15536,0,0,1.10875,0.158606
118,0.0190351,0.170156,0,0,1.10895,0.196265
119,0.0186647,0.180751,0,0,1.10911,0.163505
120,0.018296,0.147028,0.937984,0.932152,1.20531,96.1852
121,0.0179291,0.146657,0,0,1.20565,0.329223
122,0.017564,0.13292,0,0,1.20591,0.264393
123,0.0172009,0.205708,0,0,1.20614,0.22511
124,0.0168399,0.245941,0,0,1.20639,0.248283
125,0.0164809,0.208021,0,0,1.20666,0.260305
126,0.0161243,0.135107,0,0,1.20687,0.217195
127,0.0157699,0.118779,0,0,1.20707,0.195635
128,0.0154179,0.157458,0,0,1.20725,0.178102
129,0.0150684,0.177023,0,0,1.20745,0.198159
130,0.0147215,0.2138,0.935735,0.930014,1.30549,98.029
131,0.0143772,0.210097,0,0,1.30575,0.255115
132,0.0140357,0.145235,0,0,1.30593,0.181408
133,0.013697,0.203232,0,0,1.30617,0.23626
134,0.0133613,0.163716,0,0,1.30641,0.240137
135,0.0130285,0.233256,0,0,1.30663,0.213759
136,0.0126988,0.206533,0,0,1.30681,0.179545
137,0.0123722,0.19276,0,0,1.30707,0.255566
138,0.0120489,0.205684,0,0,1.30725,0.185005
139,0.011729,0.173702,0,0,1.30743,0.177271
140,0.0114124,0.119603,0.939659,0.933781,1.40483,97.3837
141,0.0110993,0.205632,0,0,1.40512,0.284801
142,0.0107897,0.180537,0,0,1.40534,0.215382
143,0.0104838,0.173698,0,0,1.40553,0.185706
144,0.0101816,0.222542,0,0,1.40572,0.194232
145,0.00988311,0.164548,0,0,1.40595,0.22543
146,0.00958852,0.213265,0,0,1.40617,0.223396
147,0.00929786,0.181323,0,0,1.4064,0.227033
148,0.00901119,0.243012,0,0,1.40666,0.249515
149,0.0087286,0.219536,0,0,1.40683,0.170298
150,0.00845014,0.206677,0.938461,0.932676,1.51386,107.017
151,0.00817588,0.200197,0,0,1.51416,0.303045
152,0.00790591,0.200886,0,0,1.51444,0.26837
153,0.00764027,0.204623,0,0,1.51469,0.254595
154,0.00737904,0.215897,0,0,1.51509,0.394094
155,0.00712228,0.201821,0,0,1.5153,0.210462
156,0.00687005,0.17856,0,0,1.51553,0.229477
157,0.00662242,0.264919,0,0,1.51581,0.277397
158,0.00637945,0.223159,0,0,1.51607,0.248573
159,0.0061412,0.207804,0,0,1.5163,0.23043
160,0.00590773,0.195201,0.939597,0.933733,1.62196,105.65
161,0.00567908,0.134909,0,0,1.62224,0.273369
162,0.00545533,0.137517,0,0,1.62247,0.227494
163,0.00523653,0.230421,0,0,1.62272,0.242402
164,0.00502272,0.192682,0,0,1.62299,0.272558
165,0.00481396,0.141722,0,0,1.62322,0.229838
166,0.00461031,0.216514,0,0,1.62341,0.188972
167,0.00441182,0.15049,0,0,1.62368,0.266055
168,0.00421853,0.185465,0,0,1.62388,0.193641
169,0.00403049,0.166054,0,0,1.62401,0.135783
170,0.00384774,0.162383,0.938337,0.932551,1.72368,99.6576
171,0.00367034,0.149913,0,0,1.72393,0.243363
172,0.00349833,0.169426,0,0,1.72414,0.208108
173,0.00333174,0.218983,0,0,1.7244,0.255546
174,0.00317062,0.136509,0,0,1.72459,0.192048
175,0.00301501,0.262135,0,0,1.72482,0.217665
176,0.00286495,0.220569,0,0,1.72501,0.189062
177,0.00272047,0.161062,0,0,1.72519,0.179906
178,0.00258162,0.169612,0,0,1.72542,0.23059
179,0.00244842,0.186401,0,0,1.72569,0.271776
180,0.00232091,0.142441,0.937483,0.93172,1.82203,96.3253
181,0.00219911,0.115896,0,0,1.82228,0.241581
182,0.00208307,0.238778,0,0,1.82252,0.207677
183,0.0019728,0.134745,0,0,1.8227,0.180456
184,0.00186834,0.217287,0,0,1.82294,0.23578
185,0.00176971,0.140277,0,0,1.82317,0.231611
186,0.00167694,0.206179,0,0,1.82338,0.205754
187,0.00159004,0.119024,0,0,1.82354,0.153886
188,0.00150904,0.182428,0,0,1.8238,0.262219
189,0.00143396,0.172559,0,0,1.82398,0.179324
190,0.00136482,0.170647,0.93707,0.931316,1.91949,95.5039
191,0.00130164,0.175606,0,0,1.91969,0.188982
192,0.00124442,0.314797,0,0,1.91985,0.158646
193,0.00119319,0.123934,0,0,1.91999,0.13956
194,0.00114796,0.182899,0,0,1.92012,0.133088
195,0.00110873,0.14392,0,0,1.92025,0.130372
196,0.00107552,0.18936,0,0,1.92038,0.127858
197,0.00104835,0.167845,0,0,1.92052,0.131605
198,0.0010272,0.1853,0,0,1.92065,0.135672
199,0.00101209,0.201881,0,0,1.92081,0.156361
200,0.00100302,0.225677,0.937177,0.931417,2.01476,93.923
