metric,value
n_test,756226
conf_threshold,0.5
min_samples,8
eps,0.148
normal_prox_thresh,4
n_holdout,3972
n_uncertain,35000
n_confident,663693
n_db,38972
n_clusters,243
n_core_points,26790
n_noise_db,10377
svm_confident_acc,0.94321
macro_precision,0.811068
macro_recall,0.969601
macro_f1,0.874278
