mpicxx -O2 -std=c++20 -o bin/mpi_ids src/mpi_ids.cpp -lm
Built: mpi_ids
=== Network IDS: MPI (2 processes) ===
Train: 100000 | Test: 50000 | Features: 52 | Classes: 7
  SVM(0v1) Epoch 54/200 | Errors: 6/443
  SVM(0v1) Epoch 58/200 | Errors: 4/443
  SVM(0v1) Epoch 55/200 | Errors: 4/443
  SVM(0v1) Epoch 59/200 | Errors: 4/443
  SVM(0v1) Epoch 56/200 | Errors: 4/443
  SVM(0v1) Epoch 60/200 | Errors: 4/443
  SVM(0v1) Epoch 57/200 | Errors: 4/443
  SVM(0v1) Epoch 61/200 | Errors: 4/443
  SVM(0v1) Epoch 58/200 | Errors: 4/443
  SVM(0v1) Epoch 62/200 | Errors: 13/443
  SVM(0v1) Epoch 59/200 | Errors: 4/443
  SVM(0v1) Epoch 63/200 | Errors: 14/443
  SVM(0v1) Epoch 60/200 | Errors: 4/443
  SVM(0v1) Epoch 64/200 | Errors: 14/443
  SVM(0v1) Epoch 61/200 | Errors: 4/443
  SVM(0v1) Epoch 65/200 | Errors: 14/443
  SVM(0v1) Epoch 62/200 | Errors: 13/443
  SVM(0v1) Epoch 66/200 | Errors: 28/443
  SVM(0v1) Epoch 63/200 | Errors: 14/443
  SVM(0v1) Epoch 67/200 | Errors: 1/443
  SVM(0v1) Epoch 64/200 | Errors: 14/443
  SVM(0v1) Epoch 68/200 | Errors: 0/443
  SVM(0v1) Epoch 65/200 | Errors: 14/443
  SVM(0v1) Epoch 66/200 | Errors: 28/443
  SVM(0v1) Epoch 67/200 | Errors: 1/443
  SVM(0v1) Epoch 68/200 | Errors: 0/443
  SVM(0v2) Epoch 1/200 | Errors: 64/5000
  SVM(0v2) Epoch 2/200 | Errors: 14/5000
  SVM(0v2) Epoch 3/200 | Errors: 16/5000
  SVM(0v2) Epoch 4/200 | Errors: 8/5000
  SVM(0v2) Epoch 1/200 | Errors: 64/5000
  SVM(0v2) Epoch 5/200 | Errors: 8/5000
  SVM(0v2) Epoch 2/200 | Errors: 14/5000
  SVM(0v2) Epoch 6/200 | Errors: 14/5000
  SVM(0v2) Epoch 3/200 | Errors: 16/5000
  SVM(0v2) Epoch 7/200 | Errors: 8/5000
  SVM(0v2) Epoch 4/200 | Errors: 8/5000
  SVM(0v2) Epoch 8/200 | Errors: 8/5000
  SVM(0v2) Epoch 5/200 | Errors: 8/5000
  SVM(0v2) Epoch 9/200 | Errors: 8/5000
  SVM(0v2) Epoch 6/200 | Errors: 14/5000
  SVM(0v2) Epoch 10/200 | Errors: 14/5000
  SVM(0v2) Epoch 7/200 | Errors: 8/5000
  SVM(0v2) Epoch 11/200 | Errors: 8/5000
  SVM(0v2) Epoch 8/200 | Errors: 8/5000
  SVM(0v2) Epoch 12/200 | Errors: 8/5000
  SVM(0v2) Epoch 9/200 | Errors: 8/5000
  SVM(0v2) Epoch 13/200 | Errors: 8/5000
  SVM(0v2) Epoch 10/200 | Errors: 14/5000
  SVM(0v2) Epoch 14/200 | Errors: 8/5000
  SVM(0v2) Epoch 11/200 | Errors: 8/5000
  SVM(0v2) Epoch 15/200 | Errors: 8/5000
  SVM(0v2) Epoch 12/200 | Errors: 8/5000
  SVM(0v2) Epoch 16/200 | Errors: 12/5000
  SVM(0v2) Epoch 13/200 | Errors: 8/5000
  SVM(0v2) Epoch 17/200 | Errors: 8/5000
  SVM(0v2) Epoch 14/200 | Errors: 8/5000
  SVM(0v2) Epoch 18/200 | Errors: 6/5000
  SVM(0v2) Epoch 15/200 | Errors: 8/5000
  SVM(0v2) Epoch 19/200 | Errors: 6/5000
  SVM(0v2) Epoch 16/200 | Errors: 12/5000
  SVM(0v2) Epoch 20/200 | Errors: 12/5000
  SVM(0v2) Epoch 17/200 | Errors: 8/5000
  SVM(0v2) Epoch 21/200 | Errors: 8/5000
  SVM(0v2) Epoch 18/200 | Errors: 6/5000
  SVM(0v2) Epoch 22/200 | Errors: 6/5000
  SVM(0v2) Epoch 19/200 | Errors: 6/5000
  SVM(0v2) Epoch 23/200 | Errors: 6/5000
  SVM(0v2) Epoch 20/200 | Errors: 12/5000
  SVM(0v2) Epoch 24/200 | Errors: 4/5000
  SVM(0v2) Epoch 21/200 | Errors: 8/5000
  SVM(0v2) Epoch 25/200 | Errors: 4/5000
  SVM(0v2) Epoch 22/200 | Errors: 6/5000
  SVM(0v2) Epoch 26/200 | Errors: 4/5000
  SVM(0v2) Epoch 23/200 | Errors: 6/5000
  SVM(0v2) Epoch 27/200 | Errors: 4/5000
  SVM(0v2) Epoch 24/200 | Errors: 4/5000
  SVM(0v2) Epoch 28/200 | Errors: 4/5000
  SVM(0v2) Epoch 25/200 | Errors: 4/5000
  SVM(0v2) Epoch 29/200 | Errors: 4/5000
  SVM(0v2) Epoch 26/200 | Errors: 4/5000
  SVM(0v2) Epoch 30/200 | Errors: 4/5000
  SVM(0v2) Epoch 27/200 | Errors: 4/5000
  SVM(0v2) Epoch 31/200 | Errors: 4/5000
  SVM(0v2) Epoch 28/200 | Errors: 4/5000
  SVM(0v2) Epoch 32/200 | Errors: 4/5000
  SVM(0v2) Epoch 29/200 | Errors: 4/5000
  SVM(0v2) Epoch 33/200 | Errors: 4/5000
  SVM(0v2) Epoch 30/200 | Errors: 4/5000
  SVM(0v2) Epoch 34/200 | Errors: 4/5000
  SVM(0v2) Epoch 31/200 | Errors: 4/5000
  SVM(0v2) Epoch 35/200 | Errors: 4/5000
  SVM(0v2) Epoch 32/200 | Errors: 4/5000
  SVM(0v2) Epoch 36/200 | Errors: 4/5000
  SVM(0v2) Epoch 33/200 | Errors: 4/5000
  SVM(0v2) Epoch 37/200 | Errors: 4/5000
  SVM(0v2) Epoch 34/200 | Errors: 4/5000
  SVM(0v2) Epoch 38/200 | Errors: 4/5000
  SVM(0v2) Epoch 35/200 | Errors: 4/5000
  SVM(0v2) Epoch 39/200 | Errors: 4/5000
  SVM(0v2) Epoch 36/200 | Errors: 4/5000
  SVM(0v2) Epoch 40/200 | Errors: 4/5000
  SVM(0v2) Epoch 37/200 | Errors: 4/5000
  SVM(0v2) Epoch 41/200 | Errors: 4/5000
  SVM(0v2) Epoch 38/200 | Errors: 4/5000
  SVM(0v2) Epoch 42/200 | Errors: 4/5000
  SVM(0v2) Epoch 39/200 | Errors: 4/5000
  SVM(0v2) Epoch 43/200 | Errors: 4/5000
  SVM(0v2) Epoch 40/200 | Errors: 4/5000
  SVM(0v2) Epoch 44/200 | Errors: 4/5000
  SVM(0v2) Epoch 41/200 | Errors: 4/5000
  SVM(0v2) Epoch 45/200 | Errors: 4/5000
