g++ -O2 -std=c++20 -pthread -o bin/cpp_thread src/cpp_thread.cpp -lm
Built: cpp_thread
=== Network IDS: C++ Thread (8 threads) ===
Train: 1764525 | Test: 756226 | Features: 52 | Classes: 7

--- SVM Training ---
  SVM(0v2) Epoch 11/200 | Train Errors: 10/8000 | Val Errors: 2/2000
  SVM(0v2) Epoch 12/200 | Train Errors: 10/8000 | Val Errors: 2/2000
  SVM(0v2) Epoch 13/200 | Train Errors: 10/8000 | Val Errors: 2/2000
  SVM(0v2) Epoch 14/200 | Train Errors: 10/8000 | Val Errors: 2/2000
  SVM(0v2) Epoch 15/200 | Train Errors: 10/8000 | Val Errors: 1/2000
  SVM(0v2) Epoch 16/200 | Train Errors: 10/8000 | Val Errors: 0/2000
  Early stopping at epoch 16 (best val errors=0)
  SVM(0v3) Epoch 1/200 | Train Errors: 71/8000 | Val Errors: 3/2000
  SVM(0v3) Epoch 2/200 | Train Errors: 24/8000 | Val Errors: 0/2000
  SVM(0v3) Epoch 3/200 | Train Errors: 23/8000 | Val Errors: 30/2000
  SVM(0v3) Epoch 4/200 | Train Errors: 27/8000 | Val Errors: 0/2000
  SVM(0v3) Epoch 5/200 | Train Errors: 26/8000 | Val Errors: 3/2000
  SVM(0v3) Epoch 6/200 | Train Errors: 30/8000 | Val Errors: 3/2000
  SVM(0v3) Epoch 7/200 | Train Errors: 26/8000 | Val Errors: 1/2000
  SVM(0v3) Epoch 8/200 | Train Errors: 16/8000 | Val Errors: 1/2000
  SVM(0v3) Epoch 9/200 | Train Errors: 16/8000 | Val Errors: 1/2000
  SVM(0v3) Epoch 10/200 | Train Errors: 16/8000 | Val Errors: 1/2000
  SVM(0v3) Epoch 11/200 | Train Errors: 16/8000 | Val Errors: 1/2000
  SVM(0v3) Epoch 12/200 | Train Errors: 16/8000 | Val Errors: 1/2000
  SVM(0v3) Epoch 13/200 | Train Errors: 10/8000 | Val Errors: 1/2000
  SVM(0v3) Epoch 14/200 | Train Errors: 4/8000 | Val Errors: 0/2000
  SVM(0v3) Epoch 15/200 | Train Errors: 2/8000 | Val Errors: 0/2000
  SVM(0v3) Epoch 16/200 | Train Errors: 2/8000 | Val Errors: 0/2000
  SVM(0v3) Epoch 17/200 | Train Errors: 2/8000 | Val Errors: 0/2000
  Early stopping at epoch 17 (best val errors=0)
  SVM(0v4) Epoch 1/200 | Train Errors: 25/8000 | Val Errors: 1/2000
  SVM(0v4) Epoch 2/200 | Train Errors: 24/8000 | Val Errors: 1/2000
  SVM(0v4) Epoch 3/200 | Train Errors: 24/8000 | Val Errors: 1/2000
  SVM(0v4) Epoch 4/200 | Train Errors: 24/8000 | Val Errors: 3/2000
  SVM(0v4) Epoch 5/200 | Train Errors: 24/8000 | Val Errors: 3/2000
  SVM(0v4) Epoch 6/200 | Train Errors: 24/8000 | Val Errors: 15/2000
  SVM(0v4) Epoch 7/200 | Train Errors: 22/8000 | Val Errors: 14/2000
  SVM(0v4) Epoch 8/200 | Train Errors: 22/8000 | Val Errors: 27/2000
  SVM(0v4) Epoch 9/200 | Train Errors: 22/8000 | Val Errors: 12/2000
  SVM(0v4) Epoch 10/200 | Train Errors: 24/8000 | Val Errors: 39/2000
  SVM(0v4) Epoch 11/200 | Train Errors: 22/8000 | Val Errors: 53/2000
  SVM(0v4) Epoch 12/200 | Train Errors: 20/8000 | Val Errors: 62/2000
  SVM(0v4) Epoch 13/200 | Train Errors: 20/8000 | Val Errors: 57/2000
  SVM(0v4) Epoch 14/200 | Train Errors: 18/8000 | Val Errors: 49/2000
  SVM(0v4) Epoch 15/200 | Train Errors: 21/8000 | Val Errors: 1/2000
  SVM(0v4) Epoch 16/200 | Train Errors: 22/8000 | Val Errors: 1/2000
  Early stopping at epoch 16 (best val errors=1)
  SVM(0v5) Epoch 1/200 | Train Errors: 236/8000 | Val Errors: 42/2000
  SVM(0v5) Epoch 2/200 | Train Errors: 222/8000 | Val Errors: 42/2000
