class_a,class_b,epoch,train_errors,n_train,val_errors,n_val
1,4,26,54,8000,12,2000
1,4,27,46,8000,12,2000
1,4,28,46,8000,8,2000
1,4,29,41,8000,12,2000
1,4,30,48,8000,12,2000
1,4,31,52,8000,12,2000
1,5,1,259,6407,103,1602
1,5,2,572,6407,30,1602
1,5,3,223,6407,54,1602
1,5,4,84,6407,6,1602
1,5,5,77,6407,4,1602
1,5,6,34,6407,5,1602
1,5,7,34,6407,5,1602
1,5,8,48,6407,5,1602
1,5,9,38,6407,5,1602
1,5,10,44,6407,5,1602
1,5,11,150,6407,5,1602
1,5,12,177,6407,13,1602
1,5,13,46,6407,11,1602
1,5,14,58,6407,7,1602
1,5,15,32,6407,4,1602
1,5,16,28,6407,4,1602
1,5,17,28,6407,4,1602
1,5,18,28,6407,4,1602
1,5,19,28,6407,4,1602
1,5,20,28,6407,4,1602
1,6,1,70,706,6,177
1,6,2,66,706,7,177
1,6,3,58,706,6,177
1,6,4,66,706,7,177
1,6,5,30,706,7,177
1,6,6,32,706,7,177
1,6,7,32,706,7,177
1,6,8,31,706,6,177
1,6,9,24,706,5,177
1,6,10,22,706,5,177
1,6,11,32,706,5,177
1,6,12,38,706,5,177
1,6,13,32,706,5,177
1,6,14,44,706,5,177
1,6,15,42,706,6,177
1,6,16,34,706,6,177
1,6,17,44,706,6,177
1,6,18,36,706,6,177
1,6,19,36,706,5,177
1,6,20,36,706,5,177
1,6,21,36,706,5,177
1,6,22,36,706,5,177
1,6,23,36,706,5,177
1,6,24,34,706,5,177
2,3,1,1123,8000,361,2000
2,3,2,852,8000,149,2000
2,3,3,781,8000,274,2000
2,3,4,730,8000,140,2000
2,3,5,728,8000,133,2000
2,3,6,720,8000,135,2000
2,3,7,652,8000,129,2000
2,3,8,672,8000,137,2000
2,3,9,626,8000,132,2000
2,3,10,614,8000,138,2000
2,3,11,590,8000,127,2000
2,3,12,578,8000,128,2000
2,3,13,568,8000,141,2000
2,3,14,506,8000,159,2000
2,3,15,540,8000,131,2000
2,3,16,492,8000,131,2000
2,3,17,496,8000,127,2000
2,3,18,476,8000,177,2000
2,3,19,553,8000,106,2000
2,3,20,542,8000,119,2000
2,3,21,516,8000,109,2000
2,3,22,516,8000,106,2000
2,3,23,528,8000,105,2000
2,3,24,494,8000,102,2000
2,3,25,476,8000,117,2000
2,3,26,472,8000,118,2000
2,3,27,420,8000,123,2000
2,3,28,410,8000,127,2000
2,3,29,411,8000,50,2000
2,3,30,504,8000,95,2000
2,3,31,494,8000,101,2000
2,3,32,476,8000,106,2000
2,3,33,464,8000,108,2000
2,3,34,444,8000,97,2000
2,3,35,430,8000,96,2000
2,3,36,456,8000,96,2000
2,3,37,422,8000,92,2000
2,3,38,420,8000,107,2000
2,3,39,374,8000,128,2000
2,3,40,340,8000,107,2000
2,3,41,455,8000,92,2000
2,3,42,444,8000,89,2000
2,3,43,424,8000,92,2000
2,3,44,432,8000,91,2000
2,4,1,328,8000,47,2000
2,4,2,237,8000,49,2000
2,4,3,226,8000,48,2000
2,4,4,219,8000,53,2000
2,4,5,192,8000,48,2000
2,4,6,234,8000,49,2000
2,4,7,174,8000,32,2000
2,4,8,173,8000,48,2000
2,4,9,224,8000,49,2000
2,4,10,168,8000,22,2000
2,4,11,148,8000,24,2000
2,4,12,142,8000,34,2000
2,4,13,153,8000,48,2000
2,4,14,166,8000,48,2000
2,4,15,212,8000,47,2000
2,4,16,158,8000,21,2000
2,4,17,152,8000,31,2000
2,4,18,140,8000,23,2000
2,4,19,142,8000,26,2000
2,4,20,145,8000,47,2000
2,4,21,125,8000,24,2000
2,4,22,128,8000,23,2000
2,4,23,138,8000,24,2000
2,4,24,136,8000,24,2000
2,4,25,128,8000,21,2000
2,4,26,138,8000,31,2000
2,4,27,142,8000,29,2000
2,4,28,134,8000,26,2000
2,4,29,132,8000,23,2000
2,4,30,124,8000,22,2000
2,4,31,138,8000,22,2000
2,5,1,63,8000,0,2000
2,5,2,23,8000,0,2000
2,5,3,22,8000,0,2000
2,5,4,20,8000,0,2000
2,5,5,18,8000,0,2000
2,5,6,18,8000,0,2000
2,5,7,18,8000,0,2000
2,5,8,18,8000,0,2000
2,5,9,18,8000,0,2000
2,5,10,18,8000,0,2000
2,5,11,18,8000,0,2000
2,5,12,18,8000,0,2000
2,5,13,18,8000,0,2000
2,5,14,22,8000,0,2000
2,5,15,20,8000,0,2000
2,5,16,22,8000,0,2000
2,6,1,60,8000,3,2000
2,6,2,22,8000,2,2000
2,6,3,8,8000,2,2000
2,6,4,6,8000,2,2000
2,6,5,6,8000,1,2000
2,6,6,6,8000,1,2000
2,6,7,5,8000,3,2000
2,6,8,7,8000,3,2000
2,6,9,20,8000,3,2000
2,6,10,12,8000,2,2000
2,6,11,6,8000,1,2000
2,6,12,6,8000,1,2000
2,6,13,7,8000,3,2000
2,6,14,2,8000,3,2000
2,6,15,17,8000,3,2000
2,6,16,19,8000,3,2000
2,6,17,18,8000,3,2000
2,6,18,11,8000,2,2000
2,6,19,6,8000,1,2000
2,6,20,6,8000,1,2000
3,4,1,307,8000,36,2000
3,4,2,254,8000,33,2000
3,4,3,240,8000,34,2000
3,4,4,244,8000,33,2000
3,4,5,226,8000,28,2000
3,4,6,218,8000,30,2000
3,4,7,212,8000,25,2000
3,4,8,216,8000,22,2000
3,4,9,194,8000,20,2000
3,4,10,182,8000,16,2000
3,4,11,178,8000,20,2000
3,4,12,176,8000,21,2000
3,4,13,174,8000,16,2000
3,4,14,176,8000,16,2000
3,4,15,150,8000,18,2000
3,4,16,166,8000,17,2000
3,4,17,172,8000,19,2000
3,4,18,160,8000,17,2000
3,4,19,170,8000,16,2000
3,4,20,160,8000,17,2000
3,4,21,144,8000,18,2000
3,4,22,154,8000,15,2000
3,4,23,152,8000,16,2000
3,4,24,152,8000,17,2000
3,4,25,145,8000,24,2000
3,4,26,143,8000,16,2000
3,4,27,148,8000,17,2000
3,4,28,130,8000,14,2000
3,4,29,150,8000,15,2000
3,4,30,135,8000,32,2000
3,4,31,145,8000,15,2000
3,4,32,130,8000,15,2000
3,4,33,148,8000,14,2000
3,4,34,152,8000,18,2000
3,4,35,146,8000,17,2000
3,4,36,146,8000,16,2000
3,4,37,152,8000,16,2000
3,4,38,140,8000,17,2000
3,4,39,154,8000,18,2000
3,4,40,152,8000,18,2000
3,4,41,146,8000,17,2000
3,4,42,146,8000,19,2000
3,4,43,150,8000,15,2000
3,5,1,159,8000,15,2000
3,5,2,138,8000,17,2000
3,5,3,112,8000,15,2000
3,5,4,114,8000,16,2000
3,5,5,104,8000,15,2000
3,5,6,58,8000,4,2000
3,5,7,54,8000,4,2000
3,5,8,66,8000,0,2000
3,5,9,72,8000,3,2000
3,5,10,66,8000,4,2000
3,5,11,115,8000,17,2000
3,5,12,73,8000,4,2000
3,5,13,113,8000,17,2000
3,5,14,112,8000,17,2000
3,5,15,108,8000,17,2000
3,5,16,100,8000,15,2000
3,5,17,104,8000,17,2000
3,5,18,100,8000,16,2000
3,5,19,104,8000,17,2000
3,5,20,102,8000,17,2000
3,5,21,102,8000,16,2000
3,5,22,100,8000,17,2000
3,5,23,96,8000,16,2000
3,6,1,87,8000,30,2000
3,6,2,84,8000,31,2000
3,6,3,48,8000,31,2000
3,6,4,55,8000,7,2000
3,6,5,35,8000,29,2000
3,6,6,44,8000,93,2000
3,6,7,40,8000,31,2000
3,6,8,38,8000,54,2000
3,6,9,40,8000,51,2000
3,6,10,36,8000,51,2000
3,6,11,34,8000,58,2000
3,6,12,37,8000,7,2000
3,6,13,38,8000,7,2000
3,6,14,38,8000,6,2000
3,6,15,36,8000,6,2000
3,6,16,40,8000,6,2000
3,6,17,36,8000,6,2000
3,6,18,42,8000,6,2000
3,6,19,42,8000,6,2000
3,6,20,34,8000,6,2000
3,6,21,36,8000,6,2000
3,6,22,38,8000,6,2000
3,6,23,36,8000,6,2000
3,6,24,36,8000,6,2000
3,6,25,34,8000,7,2000
3,6,26,34,8000,6,2000
3,6,27,34,8000,6,2000
3,6,28,34,8000,6,2000
3,6,29,36,8000,6,2000
4,5,1,416,8000,70,2000
4,5,2,363,8000,44,2000
4,5,3,226,8000,57,2000
4,5,4,224,8000,60,2000
4,5,5,234,8000,65,2000
4,5,6,325,8000,76,2000
4,5,7,236,8000,58,2000
4,5,8,232,8000,52,2000
4,5,9,222,8000,56,2000
4,5,10,218,8000,46,2000
4,5,11,228,8000,53,2000
4,5,12,220,8000,60,2000
4,5,13,244,8000,66,2000
4,5,14,259,8000,50,2000
4,5,15,216,8000,56,2000
4,5,16,224,8000,39,2000
4,5,17,256,8000,47,2000
4,5,18,238,8000,45,2000
4,5,19,220,8000,48,2000
4,5,20,218,8000,57,2000
4,5,21,228,8000,59,2000
4,5,22,232,8000,56,2000
4,5,23,226,8000,58,2000
4,5,24,242,8000,64,2000
4,5,25,256,8000,74,2000
4,5,26,259,8000,57,2000
4,5,27,226,8000,45,2000
4,5,28,254,8000,36,2000
4,5,29,250,8000,48,2000
4,5,30,218,8000,42,2000
4,5,31,218,8000,52,2000
4,5,32,228,8000,47,2000
4,5,33,226,8000,59,2000
4,5,34,224,8000,56,2000
4,5,35,222,8000,61,2000
4,5,36,234,8000,65,2000
4,5,37,260,8000,77,2000
4,5,38,237,8000,48,2000
4,5,39,216,8000,55,2000
4,5,40,243,8000,80,2000
4,5,41,220,8000,78,2000
4,5,42,221,8000,36,2000
4,5,43,220,8000,36,2000
4,6,1,19,8000,1,2000
4,6,2,18,8000,1,2000
4,6,3,18,8000,1,2000
4,6,4,19,8000,1,2000
4,6,5,18,8000,1,2000
4,6,6,18,8000,1,2000
4,6,7,16,8000,1,2000
4,6,8,18,8000,1,2000
4,6,9,18,8000,1,2000
4,6,10,18,8000,1,2000
4,6,11,19,8000,1,2000
4,6,12,18,8000,1,2000
4,6,13,18,8000,1,2000
4,6,14,18,8000,1,2000
4,6,15,16,8000,1,2000
4,6,16,16,8000,1,2000
5,6,1,112,5966,12,1492
5,6,2,62,5966,13,1492
5,6,3,96,5966,22,1492
5,6,4,72,5966,12,1492
5,6,5,50,5966,12,1492
5,6,6,41,5966,5,1492
5,6,7,30,5966,6,1492
5,6,8,54,5966,5,1492
5,6,9,44,5966,5,1492
5,6,10,38,5966,5,1492
5,6,11,42,5966,3,1492
5,6,12,34,5966,3,1492
5,6,13,32,5966,4,1492
5,6,14,50,5966,4,1492
5,6,15,44,5966,5,1492
5,6,16,58,5966,12,1492
5,6,17,60,5966,13,1492
5,6,18,36,5966,12,1492
5,6,19,29,5966,3,1492
5,6,20,18,5966,4,1492
5,6,21,20,5966,4,1492
5,6,22,24,5966,4,1492
5,6,23,34,5966,4,1492
5,6,24,46,5966,4,1492
5,6,25,46,5966,4,1492
5,6,26,38,5966,4,1492
