g++ -O2 -std=c++20 -fopenmp -o bin/openmp src/openmp.cpp -lm
Built: openmp
=== Network IDS: OpenMP (8 threads) ===
Train: 10000 | Test: 5000 | Features: 52 | Classes: 7
  SVM(0v1) Epoch 1/50 | Errors: 12/45
  SVM(0v1) Epoch 2/50 | Errors: 11/45
  SVM(0v1) Epoch 3/50 | Errors: 8/45
  SVM(0v1) Epoch 4/50 | Errors: 4/45
  SVM(0v1) Epoch 5/50 | Errors: 4/45
  SVM(0v1) Epoch 6/50 | Errors: 4/45
  SVM(0v1) Epoch 7/50 | Errors: 4/45
  SVM(0v1) Epoch 8/50 | Errors: 4/45
  SVM(0v1) Epoch 9/50 | Errors: 4/45
  SVM(0v1) Epoch 10/50 | Errors: 4/45
  SVM(0v1) Epoch 11/50 | Errors: 4/45
  SVM(0v1) Epoch 12/50 | Errors: 4/45
  SVM(0v1) Epoch 13/50 | Errors: 4/45
  SVM(0v1) Epoch 14/50 | Errors: 4/45
  SVM(0v1) Epoch 15/50 | Errors: 4/45
  SVM(0v1) Epoch 16/50 | Errors: 4/45
  SVM(0v1) Epoch 17/50 | Errors: 4/45
  SVM(0v1) Epoch 18/50 | Errors: 6/45
  SVM(0v1) Epoch 19/50 | Errors: 4/45
  SVM(0v1) Epoch 20/50 | Errors: 6/45
  SVM(0v1) Epoch 21/50 | Errors: 4/45
  SVM(0v1) Epoch 22/50 | Errors: 4/45
  SVM(0v1) Epoch 23/50 | Errors: 4/45
  SVM(0v1) Epoch 24/50 | Errors: 4/45
  SVM(0v1) Epoch 25/50 | Errors: 4/45
  SVM(0v1) Epoch 26/50 | Errors: 4/45
  SVM(0v1) Epoch 27/50 | Errors: 4/45
  SVM(0v1) Epoch 28/50 | Errors: 4/45
  SVM(0v1) Epoch 29/50 | Errors: 4/45
  SVM(0v1) Epoch 30/50 | Errors: 4/45
  SVM(0v1) Epoch 31/50 | Errors: 4/45
  SVM(0v1) Epoch 32/50 | Errors: 4/45
  SVM(0v1) Epoch 33/50 | Errors: 4/45
  SVM(0v1) Epoch 34/50 | Errors: 1/45
  SVM(0v1) Epoch 35/50 | Errors: 0/45
  SVM(0v2) Epoch 1/50 | Errors: 13/500
  SVM(0v2) Epoch 2/50 | Errors: 11/500
  SVM(0v2) Epoch 3/50 | Errors: 0/500
  SVM(0v3) Epoch 1/50 | Errors: 5/500
  SVM(0v3) Epoch 2/50 | Errors: 4/500
  SVM(0v3) Epoch 3/50 | Errors: 4/500
  SVM(0v3) Epoch 4/50 | Errors: 4/500
  SVM(0v3) Epoch 5/50 | Errors: 4/500
  SVM(0v3) Epoch 6/50 | Errors: 4/500
  SVM(0v3) Epoch 7/50 | Errors: 4/500
  SVM(0v3) Epoch 8/50 | Errors: 4/500
  SVM(0v3) Epoch 9/50 | Errors: 4/500
  SVM(0v3) Epoch 10/50 | Errors: 4/500
