g++ -O2 -std=c++20 -fopenmp -o bin/openmp src/openmp.cpp -lm
Built: openmp
=== Network IDS: OpenMP (8 threads) ===
Train: 200000 | Test: 100000 | Features: 52 | Classes: 7
  SVM(0v1) Epoch 1/200 | Errors: 62/859
  SVM(0v1) Epoch 2/200 | Errors: 16/859
  SVM(0v1) Epoch 3/200 | Errors: 4/859
  SVM(0v1) Epoch 4/200 | Errors: 0/859
  SVM(0v2) Epoch 1/200 | Errors: 76/5000
  SVM(0v2) Epoch 2/200 | Errors: 4/5000
  SVM(0v2) Epoch 3/200 | Errors: 4/5000
  SVM(0v2) Epoch 4/200 | Errors: 4/5000
  SVM(0v2) Epoch 5/200 | Errors: 4/5000
  SVM(0v2) Epoch 6/200 | Errors: 4/5000
  SVM(0v2) Epoch 7/200 | Errors: 4/5000
  SVM(0v2) Epoch 8/200 | Errors: 4/5000
  SVM(0v2) Epoch 9/200 | Errors: 4/5000
  SVM(0v2) Epoch 10/200 | Errors: 4/5000
  SVM(0v2) Epoch 11/200 | Errors: 4/5000
  SVM(0v2) Epoch 12/200 | Errors: 4/5000
  SVM(0v2) Epoch 13/200 | Errors: 4/5000
  SVM(0v2) Epoch 14/200 | Errors: 4/5000
  SVM(0v2) Epoch 15/200 | Errors: 4/5000
  SVM(0v2) Epoch 16/200 | Errors: 4/5000
  SVM(0v2) Epoch 17/200 | Errors: 4/5000
  SVM(0v2) Epoch 18/200 | Errors: 4/5000
  SVM(0v2) Epoch 19/200 | Errors: 4/5000
  SVM(0v2) Epoch 20/200 | Errors: 4/5000
  SVM(0v2) Epoch 21/200 | Errors: 4/5000
  SVM(0v2) Epoch 22/200 | Errors: 4/5000
  SVM(0v2) Epoch 23/200 | Errors: 4/5000
  SVM(0v2) Epoch 24/200 | Errors: 4/5000
  SVM(0v2) Epoch 25/200 | Errors: 4/5000
  SVM(0v2) Epoch 26/200 | Errors: 4/5000
  SVM(0v2) Epoch 27/200 | Errors: 4/5000
  SVM(0v2) Epoch 28/200 | Errors: 4/5000
  SVM(0v2) Epoch 29/200 | Errors: 4/5000
  SVM(0v2) Epoch 30/200 | Errors: 4/5000
  SVM(0v2) Epoch 31/200 | Errors: 4/5000
  SVM(0v2) Epoch 32/200 | Errors: 4/5000
  SVM(0v2) Epoch 33/200 | Errors: 4/5000
  SVM(0v2) Epoch 34/200 | Errors: 4/5000
  SVM(0v2) Epoch 35/200 | Errors: 4/5000
  SVM(0v2) Epoch 36/200 | Errors: 4/5000
  SVM(0v2) Epoch 37/200 | Errors: 4/5000
  SVM(0v2) Epoch 38/200 | Errors: 4/5000
  SVM(0v2) Epoch 39/200 | Errors: 4/5000
  SVM(0v2) Epoch 40/200 | Errors: 4/5000
  SVM(0v2) Epoch 41/200 | Errors: 4/5000
  SVM(0v2) Epoch 42/200 | Errors: 4/5000
  SVM(0v2) Epoch 43/200 | Errors: 4/5000
  SVM(0v2) Epoch 44/200 | Errors: 4/5000
  SVM(0v2) Epoch 45/200 | Errors: 4/5000
  SVM(0v2) Epoch 46/200 | Errors: 4/5000
  SVM(0v2) Epoch 47/200 | Errors: 4/5000
  SVM(0v2) Epoch 48/200 | Errors: 4/5000
  SVM(0v2) Epoch 49/200 | Errors: 4/5000
  SVM(0v2) Epoch 50/200 | Errors: 4/5000
  SVM(0v2) Epoch 51/200 | Errors: 4/5000
  SVM(0v2) Epoch 52/200 | Errors: 4/5000
  SVM(0v2) Epoch 53/200 | Errors: 4/5000
  SVM(0v2) Epoch 54/200 | Errors: 4/5000
  SVM(0v2) Epoch 55/200 | Errors: 4/5000
  SVM(0v2) Epoch 56/200 | Errors: 4/5000
  SVM(0v2) Epoch 57/200 | Errors: 4/5000
  SVM(0v2) Epoch 58/200 | Errors: 4/5000
  SVM(0v2) Epoch 59/200 | Errors: 4/5000
  SVM(0v2) Epoch 60/200 | Errors: 4/5000
  SVM(0v2) Epoch 61/200 | Errors: 4/5000
  SVM(0v2) Epoch 62/200 | Errors: 4/5000
  SVM(0v2) Epoch 63/200 | Errors: 4/5000
  SVM(0v2) Epoch 64/200 | Errors: 4/5000
  SVM(0v2) Epoch 65/200 | Errors: 4/5000
  SVM(0v2) Epoch 66/200 | Errors: 4/5000
  SVM(0v2) Epoch 67/200 | Errors: 4/5000
  SVM(0v2) Epoch 68/200 | Errors: 4/5000
  SVM(0v2) Epoch 69/200 | Errors: 4/5000
  SVM(0v2) Epoch 70/200 | Errors: 4/5000
  SVM(0v2) Epoch 71/200 | Errors: 4/5000
