mpicxx -O2 -std=c++20 -o bin/mpi_ids src/mpi_ids.cpp -lm
Built: mpi_ids
=== Network IDS: MPI (4 processes) ===
Train: 200000 | Test: 100000 | Features: 52 | Classes: 7
  SVM(0v5) Epoch 3/200 | Train Errors: 159/5947 | Val Errors: 22/1487
  SVM(0v4) Epoch 7/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  SVM(0v5) Epoch 4/200 | Train Errors: 152/5947 | Val Errors: 22/1487
  SVM(0v4) Epoch 8/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  SVM(0v4) Epoch 1/200 | Train Errors: 21/8000 | Val Errors: 2/2000
  SVM(0v5) Epoch 5/200 | Train Errors: 162/5947 | Val Errors: 22/1487
  SVM(0v4) Epoch 9/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  SVM(0v4) Epoch 2/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  SVM(0v5) Epoch 6/200 | Train Errors: 163/5947 | Val Errors: 22/1487
  SVM(0v4) Epoch 10/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  SVM(0v4) Epoch 3/200 | Train Errors: 21/8000 | Val Errors: 2/2000
  SVM(0v5) Epoch 7/200 | Train Errors: 158/5947 | Val Errors: 22/1487
  SVM(0v4) Epoch 11/200 | Train Errors: 20/8000 | Val Errors: 3/2000
  SVM(0v4) Epoch 4/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  SVM(0v5) Epoch 8/200 | Train Errors: 154/5947 | Val Errors: 22/1487
  SVM(0v4) Epoch 5/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  SVM(0v4) Epoch 12/200 | Train Errors: 20/8000 | Val Errors: 5/2000
  SVM(0v5) Epoch 9/200 | Train Errors: 159/5947 | Val Errors: 23/1487
  SVM(0v4) Epoch 6/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  SVM(0v4) Epoch 13/200 | Train Errors: 20/8000 | Val Errors: 10/2000
  SVM(0v5) Epoch 10/200 | Train Errors: 160/5947 | Val Errors: 22/1487
  SVM(0v4) Epoch 7/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  SVM(0v4) Epoch 14/200 | Train Errors: 21/8000 | Val Errors: 2/2000
  SVM(0v5) Epoch 11/200 | Train Errors: 152/5947 | Val Errors: 22/1487
  SVM(0v4) Epoch 8/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  SVM(0v4) Epoch 15/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  SVM(0v5) Epoch 12/200 | Train Errors: 156/5947 | Val Errors: 22/1487
  SVM(0v4) Epoch 9/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  SVM(0v4) Epoch 16/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  Early stopping at epoch 16 (best val errors=2)
  SVM(0v5) Epoch 13/200 | Train Errors: 161/5947 | Val Errors: 22/1487
  SVM(0v4) Epoch 10/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  SVM(0v5) Epoch 14/200 | Train Errors: 156/5947 | Val Errors: 22/1487
  SVM(0v4) Epoch 11/200 | Train Errors: 20/8000 | Val Errors: 3/2000
  SVM(0v5) Epoch 15/200 | Train Errors: 156/5947 | Val Errors: 22/1487
  SVM(0v4) Epoch 12/200 | Train Errors: 20/8000 | Val Errors: 5/2000
  SVM(0v5) Epoch 16/200 | Train Errors: 155/5947 | Val Errors: 23/1487
  SVM(0v4) Epoch 13/200 | Train Errors: 20/8000 | Val Errors: 10/2000
  SVM(0v5) Epoch 17/200 | Train Errors: 158/5947 | Val Errors: 19/1487
  SVM(0v4) Epoch 14/200 | Train Errors: 21/8000 | Val Errors: 2/2000
  SVM(0v5) Epoch 18/200 | Train Errors: 148/5947 | Val Errors: 22/1487
  SVM(0v4) Epoch 15/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  SVM(0v5) Epoch 19/200 | Train Errors: 161/5947 | Val Errors: 23/1487
  SVM(0v4) Epoch 16/200 | Train Errors: 20/8000 | Val Errors: 2/2000
  Early stopping at epoch 16 (best val errors=2)
