mpicxx -O2 -std=c++20 -o bin/mpi_ids src/mpi_ids.cpp -lm
Built: mpi_ids
=== Network IDS: MPI (4 processes) ===
Train: 200000 | Test: 100000 | Features: 52 | Classes: 7
  SVM(0v1) Epoch 1/200 | Errors: 62/859
  SVM(0v1) Epoch 2/200 | Errors: 16/859
  SVM(0v1) Epoch 3/200 | Errors: 4/859
  SVM(0v1) Epoch 4/200 | Errors: 0/859
  SVM(0v1) Epoch 1/200 | Errors: 62/859
  SVM(0v1) Epoch 1/200 | Errors: 62/859
  SVM(0v1) Epoch 1/200 | Errors: 62/859
  SVM(0v1) Epoch 2/200 | Errors: 16/859
  SVM(0v1) Epoch 2/200 | Errors: 16/859
  SVM(0v1) Epoch 2/200 | Errors: 16/859
  SVM(0v1) Epoch 3/200 | Errors: 4/859
  SVM(0v1) Epoch 3/200 | Errors: 4/859
  SVM(0v1) Epoch 3/200 | Errors: 4/859
  SVM(0v1) Epoch 4/200 | Errors: 0/859
  SVM(0v1) Epoch 4/200 | Errors: 0/859
  SVM(0v1) Epoch 4/200 | Errors: 0/859
  SVM(0v2) Epoch 1/200 | Errors: 84/10000
  SVM(0v2) Epoch 2/200 | Errors: 24/10000
  SVM(0v2) Epoch 3/200 | Errors: 30/10000
  SVM(0v2) Epoch 4/200 | Errors: 28/10000
  SVM(0v2) Epoch 5/200 | Errors: 30/10000
  SVM(0v2) Epoch 6/200 | Errors: 30/10000
  SVM(0v2) Epoch 7/200 | Errors: 28/10000
  SVM(0v2) Epoch 8/200 | Errors: 28/10000
  SVM(0v2) Epoch 1/200 | Errors: 84/10000
  SVM(0v2) Epoch 9/200 | Errors: 28/10000
  SVM(0v2) Epoch 2/200 | Errors: 24/10000
  SVM(0v2) Epoch 10/200 | Errors: 28/10000
  SVM(0v2) Epoch 3/200 | Errors: 30/10000
  SVM(0v2) Epoch 11/200 | Errors: 28/10000
  SVM(0v2) Epoch 4/200 | Errors: 28/10000
  SVM(0v2) Epoch 12/200 | Errors: 28/10000
  SVM(0v2) Epoch 5/200 | Errors: 30/10000
  SVM(0v2) Epoch 13/200 | Errors: 28/10000
  SVM(0v2) Epoch 6/200 | Errors: 30/10000
  SVM(0v2) Epoch 14/200 | Errors: 28/10000
  SVM(0v2) Epoch 7/200 | Errors: 28/10000
  SVM(0v2) Epoch 15/200 | Errors: 28/10000
  SVM(0v2) Epoch 1/200 | Errors: 84/10000
  SVM(0v2) Epoch 8/200 | Errors: 28/10000
  SVM(0v2) Epoch 16/200 | Errors: 24/10000
  SVM(0v2) Epoch 2/200 | Errors: 24/10000
  SVM(0v2) Epoch 9/200 | Errors: 28/10000
  SVM(0v2) Epoch 1/200 | Errors: 84/10000
  SVM(0v2) Epoch 17/200 | Errors: 22/10000
  SVM(0v2) Epoch 3/200 | Errors: 30/10000
  SVM(0v2) Epoch 10/200 | Errors: 28/10000
  SVM(0v2) Epoch 2/200 | Errors: 24/10000
  SVM(0v2) Epoch 18/200 | Errors: 20/10000
  SVM(0v2) Epoch 4/200 | Errors: 28/10000
  SVM(0v2) Epoch 11/200 | Errors: 28/10000
  SVM(0v2) Epoch 3/200 | Errors: 30/10000
  SVM(0v2) Epoch 19/200 | Errors: 20/10000
  SVM(0v2) Epoch 5/200 | Errors: 30/10000
  SVM(0v2) Epoch 12/200 | Errors: 28/10000
  SVM(0v2) Epoch 4/200 | Errors: 28/10000
  SVM(0v2) Epoch 6/200 | Errors: 30/10000
  SVM(0v2) Epoch 20/200 | Errors: 20/10000
  SVM(0v2) Epoch 13/200 | Errors: 28/10000
  SVM(0v2) Epoch 5/200 | Errors: 30/10000
  SVM(0v2) Epoch 7/200 | Errors: 28/10000
  SVM(0v2) Epoch 21/200 | Errors: 20/10000
  SVM(0v2) Epoch 14/200 | Errors: 28/10000
  SVM(0v2) Epoch 6/200 | Errors: 30/10000
  SVM(0v2) Epoch 8/200 | Errors: 28/10000
  SVM(0v2) Epoch 22/200 | Errors: 20/10000
  SVM(0v2) Epoch 15/200 | Errors: 28/10000
  SVM(0v2) Epoch 7/200 | Errors: 28/10000
  SVM(0v2) Epoch 9/200 | Errors: 28/10000
  SVM(0v2) Epoch 23/200 | Errors: 20/10000
  SVM(0v2) Epoch 16/200 | Errors: 24/10000
  SVM(0v2) Epoch 8/200 | Errors: 28/10000
  SVM(0v2) Epoch 10/200 | Errors: 28/10000
  SVM(0v2) Epoch 24/200 | Errors: 20/10000
  SVM(0v2) Epoch 17/200 | Errors: 22/10000
  SVM(0v2) Epoch 9/200 | Errors: 28/10000
