g++ -O2 -std=c++20 -fopenmp -o bin/openmp src/openmp.cpp -lm
Built: openmp
=== Network IDS: OpenMP (8 threads) ===
Train: 1764525 | Test: 756226 | Features: 52 | Classes: 7
  SVM(0v3) Epoch 36/200 | Errors: 2/10000
  SVM(0v3) Epoch 37/200 | Errors: 2/10000
  SVM(0v3) Epoch 38/200 | Errors: 2/10000
  SVM(0v3) Epoch 39/200 | Errors: 2/10000
  SVM(0v3) Epoch 40/200 | Errors: 2/10000
  SVM(0v3) Epoch 41/200 | Errors: 2/10000
  SVM(0v3) Epoch 42/200 | Errors: 2/10000
  SVM(0v3) Epoch 43/200 | Errors: 2/10000
  SVM(0v3) Epoch 44/200 | Errors: 2/10000
  SVM(0v3) Epoch 45/200 | Errors: 2/10000
  SVM(0v3) Epoch 46/200 | Errors: 2/10000
  SVM(0v3) Epoch 47/200 | Errors: 2/10000
  SVM(0v3) Epoch 48/200 | Errors: 2/10000
  SVM(0v3) Epoch 49/200 | Errors: 2/10000
  SVM(0v3) Epoch 50/200 | Errors: 2/10000
  SVM(0v3) Epoch 51/200 | Errors: 2/10000
  SVM(0v3) Epoch 52/200 | Errors: 2/10000
  SVM(0v3) Epoch 53/200 | Errors: 2/10000
  SVM(0v3) Epoch 54/200 | Errors: 2/10000
  SVM(0v3) Epoch 55/200 | Errors: 2/10000
  SVM(0v3) Epoch 56/200 | Errors: 2/10000
  SVM(0v3) Epoch 57/200 | Errors: 2/10000
  SVM(0v3) Epoch 58/200 | Errors: 2/10000
  SVM(0v3) Epoch 59/200 | Errors: 2/10000
  SVM(0v3) Epoch 60/200 | Errors: 2/10000
  SVM(0v3) Epoch 61/200 | Errors: 2/10000
  SVM(0v3) Epoch 62/200 | Errors: 2/10000
  SVM(0v3) Epoch 63/200 | Errors: 2/10000
  SVM(0v3) Epoch 64/200 | Errors: 2/10000
  SVM(0v3) Epoch 65/200 | Errors: 2/10000
  SVM(0v3) Epoch 66/200 | Errors: 2/10000
  SVM(0v3) Epoch 67/200 | Errors: 2/10000
  SVM(0v3) Epoch 68/200 | Errors: 2/10000
  SVM(0v3) Epoch 69/200 | Errors: 2/10000
  SVM(0v3) Epoch 70/200 | Errors: 2/10000
  SVM(0v3) Epoch 71/200 | Errors: 2/10000
  SVM(0v3) Epoch 72/200 | Errors: 2/10000
  SVM(0v3) Epoch 73/200 | Errors: 2/10000
  SVM(0v3) Epoch 74/200 | Errors: 2/10000
  SVM(0v3) Epoch 75/200 | Errors: 2/10000
  SVM(0v3) Epoch 76/200 | Errors: 2/10000
  SVM(0v3) Epoch 77/200 | Errors: 2/10000
  SVM(0v3) Epoch 78/200 | Errors: 2/10000
  SVM(0v3) Epoch 79/200 | Errors: 2/10000
  SVM(0v3) Epoch 80/200 | Errors: 2/10000
  SVM(0v3) Epoch 81/200 | Errors: 2/10000
  SVM(0v3) Epoch 82/200 | Errors: 2/10000
  SVM(0v3) Epoch 83/200 | Errors: 2/10000
  SVM(0v3) Epoch 84/200 | Errors: 2/10000
  SVM(0v3) Epoch 85/200 | Errors: 2/10000
  SVM(0v3) Epoch 86/200 | Errors: 2/10000
  SVM(0v3) Epoch 87/200 | Errors: 2/10000
  SVM(0v3) Epoch 88/200 | Errors: 2/10000
  SVM(0v3) Epoch 89/200 | Errors: 2/10000
  SVM(0v3) Epoch 90/200 | Errors: 2/10000
  SVM(0v3) Epoch 91/200 | Errors: 2/10000
  SVM(0v3) Epoch 92/200 | Errors: 2/10000
  SVM(0v3) Epoch 93/200 | Errors: 2/10000
  SVM(0v3) Epoch 94/200 | Errors: 4/10000
  SVM(0v3) Epoch 95/200 | Errors: 2/10000
  SVM(0v3) Epoch 96/200 | Errors: 0/10000
  SVM(0v4) Epoch 1/200 | Errors: 27/10000
  SVM(0v4) Epoch 2/200 | Errors: 26/10000
  SVM(0v4) Epoch 3/200 | Errors: 26/10000
  SVM(0v4) Epoch 4/200 | Errors: 27/10000
  SVM(0v4) Epoch 5/200 | Errors: 26/10000
  SVM(0v4) Epoch 6/200 | Errors: 26/10000
  SVM(0v4) Epoch 7/200 | Errors: 26/10000
  SVM(0v4) Epoch 8/200 | Errors: 26/10000
  SVM(0v4) Epoch 9/200 | Errors: 26/10000
  SVM(0v4) Epoch 10/200 | Errors: 26/10000
  SVM(0v4) Epoch 11/200 | Errors: 24/10000
  SVM(0v4) Epoch 12/200 | Errors: 24/10000
  SVM(0v4) Epoch 13/200 | Errors: 27/10000
  SVM(0v4) Epoch 14/200 | Errors: 23/10000
  SVM(0v4) Epoch 15/200 | Errors: 24/10000
  SVM(0v4) Epoch 16/200 | Errors: 27/10000
  SVM(0v4) Epoch 17/200 | Errors: 24/10000
  SVM(0v4) Epoch 18/200 | Errors: 26/10000
  SVM(0v4) Epoch 19/200 | Errors: 24/10000
  SVM(0v4) Epoch 20/200 | Errors: 26/10000
  SVM(0v4) Epoch 21/200 | Errors: 26/10000
  SVM(0v4) Epoch 22/200 | Errors: 26/10000
  SVM(0v4) Epoch 23/200 | Errors: 26/10000
  SVM(0v4) Epoch 24/200 | Errors: 24/10000
  SVM(0v4) Epoch 25/200 | Errors: 22/10000
  SVM(0v4) Epoch 26/200 | Errors: 22/10000
  SVM(0v4) Epoch 27/200 | Errors: 22/10000
  SVM(0v4) Epoch 28/200 | Errors: 20/10000
  SVM(0v4) Epoch 29/200 | Errors: 20/10000
  SVM(0v4) Epoch 30/200 | Errors: 22/10000
  SVM(0v4) Epoch 31/200 | Errors: 24/10000
  SVM(0v4) Epoch 32/200 | Errors: 24/10000
  SVM(0v4) Epoch 33/200 | Errors: 24/10000
  SVM(0v4) Epoch 34/200 | Errors: 24/10000
  SVM(0v4) Epoch 35/200 | Errors: 27/10000
  SVM(0v4) Epoch 36/200 | Errors: 25/10000
  SVM(0v4) Epoch 37/200 | Errors: 24/10000
  SVM(0v4) Epoch 38/200 | Errors: 26/10000
  SVM(0v4) Epoch 39/200 | Errors: 26/10000
  SVM(0v4) Epoch 40/200 | Errors: 26/10000
  SVM(0v4) Epoch 41/200 | Errors: 24/10000
  SVM(0v4) Epoch 42/200 | Errors: 26/10000
  SVM(0v4) Epoch 43/200 | Errors: 25/10000
  SVM(0v4) Epoch 44/200 | Errors: 26/10000
  SVM(0v4) Epoch 45/200 | Errors: 23/10000
  SVM(0v4) Epoch 46/200 | Errors: 27/10000
  SVM(0v4) Epoch 47/200 | Errors: 26/10000
  SVM(0v4) Epoch 48/200 | Errors: 26/10000
  SVM(0v4) Epoch 49/200 | Errors: 24/10000
  SVM(0v4) Epoch 50/200 | Errors: 24/10000
  SVM(0v4) Epoch 51/200 | Errors: 24/10000
  SVM(0v4) Epoch 52/200 | Errors: 26/10000
  SVM(0v4) Epoch 53/200 | Errors: 24/10000
  SVM(0v4) Epoch 54/200 | Errors: 24/10000
  SVM(0v4) Epoch 55/200 | Errors: 22/10000
  SVM(0v4) Epoch 56/200 | Errors: 26/10000
  SVM(0v4) Epoch 57/200 | Errors: 26/10000
  SVM(0v4) Epoch 58/200 | Errors: 20/10000
