g++ -O2 -std=c++20 -fopenmp -o bin/openmp src/openmp.cpp -lm
Built: openmp
=== Network IDS: OpenMP (8 threads) ===
Train: 50000 | Test: 20000 | Features: 52 | Classes: 7
  SVM(0v1) Epoch 1/50 | Errors: 12/230
  SVM(0v1) Epoch 2/50 | Errors: 0/230
  SVM(0v2) Epoch 1/50 | Errors: 17/500
  SVM(0v2) Epoch 2/50 | Errors: 5/500
  SVM(0v2) Epoch 3/50 | Errors: 6/500
  SVM(0v2) Epoch 4/50 | Errors: 4/500
  SVM(0v2) Epoch 5/50 | Errors: 2/500
  SVM(0v2) Epoch 6/50 | Errors: 6/500
  SVM(0v2) Epoch 7/50 | Errors: 2/500
  SVM(0v2) Epoch 8/50 | Errors: 2/500
  SVM(0v2) Epoch 9/50 | Errors: 2/500
  SVM(0v2) Epoch 10/50 | Errors: 0/500
  SVM(0v3) Epoch 1/50 | Errors: 5/500
  SVM(0v3) Epoch 2/50 | Errors: 4/500
  SVM(0v3) Epoch 3/50 | Errors: 4/500
  SVM(0v3) Epoch 4/50 | Errors: 4/500
  SVM(0v3) Epoch 5/50 | Errors: 4/500
  SVM(0v3) Epoch 6/50 | Errors: 2/500
  SVM(0v3) Epoch 7/50 | Errors: 0/500
  SVM(0v4) Epoch 1/50 | Errors: 3/500
  SVM(0v4) Epoch 2/50 | Errors: 2/500
  SVM(0v4) Epoch 3/50 | Errors: 2/500
  SVM(0v4) Epoch 4/50 | Errors: 2/500
  SVM(0v4) Epoch 5/50 | Errors: 2/500
  SVM(0v4) Epoch 6/50 | Errors: 2/500
  SVM(0v4) Epoch 7/50 | Errors: 2/500
  SVM(0v4) Epoch 8/50 | Errors: 2/500
  SVM(0v4) Epoch 9/50 | Errors: 2/500
  SVM(0v4) Epoch 10/50 | Errors: 2/500
  SVM(0v4) Epoch 11/50 | Errors: 2/500
  SVM(0v4) Epoch 12/50 | Errors: 2/500
  SVM(0v4) Epoch 13/50 | Errors: 2/500
