g++ -O2 -std=c++20 -pthread -o bin/cpp_thread src/cpp_thread.cpp -lm
Built: cpp_thread
=== Network IDS: C++ Thread (8 threads) ===
Train: 50000 | Test: 20000 | Features: 52 | Classes: 7

--- SVM Training ---
  SVM(0v5) Epoch 42/50 | Errors: 12/500
  SVM(0v5) Epoch 43/50 | Errors: 12/500
  SVM(0v5) Epoch 44/50 | Errors: 12/500
  SVM(0v5) Epoch 45/50 | Errors: 12/500
  SVM(0v5) Epoch 46/50 | Errors: 12/500
  SVM(0v5) Epoch 47/50 | Errors: 12/500
  SVM(0v5) Epoch 48/50 | Errors: 12/500
  SVM(0v5) Epoch 49/50 | Errors: 12/500
  SVM(0v5) Epoch 50/50 | Errors: 12/500
  SVM(0v6) Epoch 1/50 | Errors: 25/72
  SVM(0v6) Epoch 2/50 | Errors: 15/72
  SVM(0v6) Epoch 3/50 | Errors: 12/72
  SVM(0v6) Epoch 4/50 | Errors: 12/72
  SVM(0v6) Epoch 5/50 | Errors: 10/72
  SVM(0v6) Epoch 6/50 | Errors: 10/72
  SVM(0v6) Epoch 7/50 | Errors: 10/72
  SVM(0v6) Epoch 8/50 | Errors: 10/72
  SVM(0v6) Epoch 9/50 | Errors: 10/72
  SVM(0v6) Epoch 10/50 | Errors: 10/72
  SVM(0v6) Epoch 11/50 | Errors: 8/72
  SVM(0v6) Epoch 12/50 | Errors: 8/72
  SVM(0v6) Epoch 13/50 | Errors: 8/72
  SVM(0v6) Epoch 14/50 | Errors: 10/72
  SVM(0v6) Epoch 15/50 | Errors: 8/72
  SVM(0v6) Epoch 16/50 | Errors: 8/72
  SVM(0v6) Epoch 17/50 | Errors: 8/72
  SVM(0v6) Epoch 18/50 | Errors: 10/72
  SVM(0v6) Epoch 19/50 | Errors: 10/72
  SVM(0v6) Epoch 20/50 | Errors: 10/72
  SVM(0v6) Epoch 21/50 | Errors: 12/72
  SVM(0v6) Epoch 22/50 | Errors: 10/72
  SVM(0v6) Epoch 23/50 | Errors: 10/72
  SVM(0v6) Epoch 24/50 | Errors: 11/72
  SVM(0v6) Epoch 25/50 | Errors: 6/72
  SVM(0v6) Epoch 26/50 | Errors: 6/72
  SVM(0v6) Epoch 27/50 | Errors: 6/72
  SVM(0v6) Epoch 28/50 | Errors: 6/72
  SVM(0v6) Epoch 29/50 | Errors: 6/72
  SVM(0v6) Epoch 30/50 | Errors: 6/72
  SVM(0v6) Epoch 31/50 | Errors: 6/72
  SVM(0v6) Epoch 32/50 | Errors: 8/72
  SVM(0v6) Epoch 33/50 | Errors: 6/72
  SVM(0v6) Epoch 34/50 | Errors: 6/72
  SVM(0v6) Epoch 35/50 | Errors: 6/72
  SVM(0v6) Epoch 36/50 | Errors: 6/72
  SVM(0v6) Epoch 37/50 | Errors: 8/72
  SVM(0v6) Epoch 38/50 | Errors: 6/72
  SVM(0v6) Epoch 39/50 | Errors: 6/72
  SVM(0v6) Epoch 40/50 | Errors: 6/72
  SVM(0v6) Epoch 41/50 | Errors: 8/72
  SVM(0v6) Epoch 42/50 | Errors: 6/72
  SVM(0v6) Epoch 43/50 | Errors: 6/72
  SVM(0v6) Epoch 44/50 | Errors: 6/72
  SVM(0v6) Epoch 45/50 | Errors: 6/72
  SVM(0v6) Epoch 46/50 | Errors: 8/72
  SVM(0v6) Epoch 47/50 | Errors: 6/72
  SVM(0v6) Epoch 48/50 | Errors: 6/72
  SVM(0v6) Epoch 49/50 | Errors: 6/72
  SVM(0v6) Epoch 50/50 | Errors: 6/72
  SVM(1v2) Epoch 1/50 | Errors: 45/500
  SVM(1v2) Epoch 2/50 | Errors: 22/500
  SVM(1v2) Epoch 3/50 | Errors: 18/500
  SVM(1v2) Epoch 4/50 | Errors: 18/500
  SVM(1v2) Epoch 5/50 | Errors: 18/500
  SVM(1v2) Epoch 6/50 | Errors: 18/500
  SVM(1v2) Epoch 7/50 | Errors: 18/500
  SVM(1v2) Epoch 8/50 | Errors: 18/500
